timestamp,container,cpu,mem_usage,net_io
1775423492,dds26-team9-orchestrator-worker-8,0.72%,34.82MiB / 512MiB,1.66MB / 2.87MB
1775423492,dds26-team9-orchestrator-worker-10,0.57%,32.71MiB / 512MiB,1.66MB / 2.86MB
1775423492,dds26-team9-orchestrator-worker-11,0.63%,34.84MiB / 512MiB,1.65MB / 2.86MB
1775423492,dds26-team9-orchestrator-worker-12,0.89%,32.98MiB / 512MiB,1.65MB / 2.85MB
1775423492,dds26-team9-orchestrator-worker-19,0.60%,34.84MiB / 512MiB,1.65MB / 2.85MB
1775423492,dds26-team9-stock-web-4,0.27%,212.4MiB / 512MiB,19.1kB / 6.07kB
1775423492,dds26-team9-orchestrator-worker-24,0.63%,34.85MiB / 512MiB,1.65MB / 2.84MB
1775423492,dds26-team9-stock-web-2,0.28%,212.6MiB / 512MiB,17.1kB / 5.53kB
1775423492,dds26-team9-orchestrator-worker-2,0.58%,35.03MiB / 512MiB,1.64MB / 2.84MB
1775423492,dds26-team9-orchestrator-worker-6,0.80%,34.83MiB / 512MiB,1.64MB / 2.84MB
1775423492,dds26-team9-stock-worker-3,0.60%,35.02MiB / 512MiB,1.6MB / 2.51MB
1775423492,dds26-team9-orchestrator-worker-23,0.71%,34.85MiB / 512MiB,1.64MB / 2.84MB
1775423492,dds26-team9-orchestrator-worker-16,0.88%,35.04MiB / 512MiB,1.64MB / 2.83MB
1775423492,dds26-team9-orchestrator-worker-3,0.65%,33.03MiB / 512MiB,1.64MB / 2.83MB
1775423492,dds26-team9-orchestrator-worker-7,0.61%,33.07MiB / 512MiB,1.63MB / 2.82MB
1775423492,dds26-team9-orchestrator-worker-20,0.57%,32.84MiB / 512MiB,1.63MB / 2.82MB
1775423492,dds26-team9-orchestrator-worker-4,0.93%,32.87MiB / 512MiB,1.63MB / 2.81MB
1775423492,dds26-team9-stock-worker-1,0.53%,32.68MiB / 512MiB,1.59MB / 2.49MB
1775423492,dds26-team9-stock-worker-6,0.54%,33.01MiB / 512MiB,1.58MB / 2.48MB
1775423492,dds26-team9-orchestrator-worker-25,0.67%,34.83MiB / 512MiB,1.62MB / 2.81MB
1775423492,dds26-team9-stock-worker-4,0.61%,34.88MiB / 512MiB,1.58MB / 2.47MB
1775423492,dds26-team9-stock-worker-7,0.59%,33.02MiB / 512MiB,1.57MB / 2.46MB
1775423492,dds26-team9-stock-worker-2,0.60%,34.96MiB / 512MiB,1.57MB / 2.46MB
1775423492,dds26-team9-stock-web-3,0.28%,211.5MiB / 512MiB,15.6kB / 4.99kB
1775423492,dds26-team9-orchestrator-worker-18,1.09%,34.89MiB / 512MiB,1.62MB / 2.81MB
1775423492,dds26-team9-stock-worker-8,0.54%,33.03MiB / 512MiB,1.56MB / 2.45MB
1775423492,dds26-team9-stock-worker-5,0.61%,35.04MiB / 512MiB,1.56MB / 2.45MB
1775423492,dds26-team9-orchestrator-worker-1,0.94%,32.86MiB / 512MiB,1.62MB / 2.8MB
1775423492,dds26-team9-order-web-23,0.29%,237.8MiB / 1GiB,18.5kB / 5.06kB
1775423492,dds26-team9-order-web-14,0.31%,238.1MiB / 1GiB,17.5kB / 5.67kB
1775423492,dds26-team9-order-web-25,0.27%,237.8MiB / 1GiB,16kB / 5.06kB
1775423492,dds26-team9-order-web-21,0.27%,237.8MiB / 1GiB,14.8kB / 4.99kB
1775423492,dds26-team9-order-web-3,0.27%,237.8MiB / 1GiB,14.1kB / 5.06kB
1775423492,dds26-team9-order-web-19,0.26%,237.4MiB / 1GiB,13.1kB / 4.46kB
1775423492,dds26-team9-order-web-13,0.31%,238MiB / 1GiB,13.2kB / 5.67kB
1775423492,dds26-team9-stock-web-1,0.27%,225.1MiB / 512MiB,17.7kB / 3.7MB
1775423492,dds26-team9-order-worker-4,0.79%,34.1MiB / 512MiB,1.65MB / 2.58MB
1775423492,dds26-team9-order-web-16,0.30%,237.5MiB / 1GiB,11.7kB / 4.52kB
1775423492,dds26-team9-order-worker-7,0.72%,35.99MiB / 512MiB,1.64MB / 2.57MB
1775423492,dds26-team9-order-web-24,0.30%,238.4MiB / 1GiB,12.3kB / 6.2kB
1775423492,dds26-team9-order-worker-3,0.70%,37.97MiB / 512MiB,1.63MB / 2.55MB
1775423492,dds26-team9-order-web-7,0.28%,238.4MiB / 1GiB,11.9kB / 6.2kB
1775423492,dds26-team9-order-web-15,0.27%,238.1MiB / 1GiB,11.1kB / 5.53kB
1775423492,dds26-team9-order-web-18,0.27%,237.7MiB / 1GiB,9.97kB / 4.59kB
1775423492,dds26-team9-order-web-10,0.29%,238.3MiB / 1GiB,10.4kB / 5.67kB
1775423492,dds26-team9-order-worker-6,0.72%,34.38MiB / 512MiB,1.62MB / 2.54MB
1775423492,dds26-team9-order-worker-5,0.71%,36.14MiB / 512MiB,1.61MB / 2.53MB
1775423492,dds26-team9-order-web-2,0.30%,239.7MiB / 1GiB,9.69kB / 4.99kB
1775423492,dds26-team9-order-web-22,4.96%,238.5MiB / 1GiB,10.1kB / 6.2kB
1775423492,dds26-team9-order-worker-2,0.69%,36.04MiB / 512MiB,1.61MB / 2.52MB
1775423492,dds26-team9-order-web-4,7.28%,238.5MiB / 1GiB,9.06kB / 5.13kB
1775423492,dds26-team9-order-web-9,6.97%,237.5MiB / 1GiB,8.46kB / 4.52kB
1775423492,dds26-team9-order-web-12,7.36%,238MiB / 1GiB,8.51kB / 5.06kB
1775423492,dds26-team9-order-web-17,6.33%,269.5MiB / 1GiB,17.1kB / 11.5MB
1775423492,dds26-team9-order-web-5,0.30%,237.8MiB / 1GiB,7.68kB / 4.98kB
1775423492,dds26-team9-order-web-11,0.28%,238.4MiB / 1GiB,8.1kB / 6.06kB
1775423492,dds26-team9-order-web-6,0.27%,238.1MiB / 1GiB,7.41kB / 5.45kB
1775423492,dds26-team9-order-web-1,0.30%,238.4MiB / 1GiB,7.42kB / 6.12kB
1775423492,dds26-team9-order-web-8,0.31%,237.8MiB / 1GiB,6.42kB / 4.91kB
1775423492,dds26-team9-order-worker-1,0.73%,34.01MiB / 512MiB,1.61MB / 2.52MB
1775423492,dds26-team9-order-web-20,0.28%,238.1MiB / 1GiB,6.44kB / 5.45kB
1775423492,dds26-team9-order-worker-8,0.70%,36.12MiB / 512MiB,1.6MB / 2.51MB
1775423492,dds26-team9-user-web-1,0.28%,211.9MiB / 512MiB,18.9kB / 5.53kB
1775423492,dds26-team9-user-web-3,0.27%,225.8MiB / 512MiB,21.5kB / 3.1MB
1775423492,dds26-team9-user-worker-2,0.59%,33.07MiB / 512MiB,1.61MB / 2.58MB
1775423492,dds26-team9-user-worker-3,0.54%,36.98MiB / 512MiB,1.6MB / 2.57MB
1775423492,dds26-team9-user-worker-1,0.58%,32.87MiB / 512MiB,1.59MB / 2.56MB
1775423492,dds26-team9-user-web-2,0.28%,211.4MiB / 512MiB,16.5kB / 4.99kB
1775423492,dds26-team9-user-web-4,0.26%,212.5MiB / 512MiB,15.6kB / 5.53kB
1775423492,dds26-team9-user-worker-4,0.56%,34.94MiB / 512MiB,1.58MB / 2.55MB
1775423492,dds26-team9-redis-order-1,1.75%,34.07MiB / 512MiB,31.9MB / 12.9MB
1775423492,dds26-team9-redis-orchestrator-1,5.11%,34.62MiB / 512MiB,71.4MB / 41.1MB
1775423492,dds26-team9-redis-payment-1,0.40%,29.96MiB / 512MiB,13.4MB / 6.34MB
1775423492,dds26-team9-redis-stock-1,0.63%,31.09MiB / 512MiB,23.5MB / 12.5MB
1775423495,dds26-team9-gateway-1,0.83%,10.88MiB / 354.3GiB,213kB / 195kB
1775423495,dds26-team9-orchestrator-worker-13,3.25%,34.96MiB / 512MiB,1.8MB / 3.08MB
1775423495,dds26-team9-orchestrator-worker-15,3.33%,33.23MiB / 512MiB,1.79MB / 3.07MB
1775423495,dds26-team9-orchestrator-worker-9,2.75%,35.15MiB / 512MiB,1.78MB / 3.05MB
1775423495,dds26-team9-orchestrator-worker-14,3.69%,35.06MiB / 512MiB,1.8MB / 3.09MB
1775423495,dds26-team9-orchestrator-worker-5,3.43%,35MiB / 512MiB,1.79MB / 3.06MB
1775423495,dds26-team9-orchestrator-worker-21,3.60%,35.22MiB / 512MiB,1.78MB / 3.05MB
1775423495,dds26-team9-orchestrator-worker-22,2.93%,34.98MiB / 512MiB,1.76MB / 3.02MB
1775423495,dds26-team9-orchestrator-worker-17,2.65%,35.01MiB / 512MiB,1.75MB / 3.01MB
1775423495,dds26-team9-orchestrator-worker-8,3.22%,35.02MiB / 512MiB,1.76MB / 3.02MB
1775423495,dds26-team9-orchestrator-worker-10,3.44%,32.91MiB / 512MiB,1.77MB / 3.05MB
1775423495,dds26-team9-orchestrator-worker-11,3.71%,35.22MiB / 512MiB,1.76MB / 3.02MB
1775423495,dds26-team9-orchestrator-worker-12,3.23%,33.1MiB / 512MiB,1.75MB / 3.02MB
1775423495,dds26-team9-orchestrator-worker-19,3.50%,34.99MiB / 512MiB,1.75MB / 3MB
1775423495,dds26-team9-stock-web-4,7.64%,212.4MiB / 512MiB,24.9kB / 6.22kB
1775423495,dds26-team9-orchestrator-worker-24,3.52%,35.03MiB / 512MiB,1.74MB / 3MB
1775423495,dds26-team9-stock-web-2,0.28%,212.6MiB / 512MiB,22.9kB / 5.53kB
1775423495,dds26-team9-orchestrator-worker-2,3.14%,35.25MiB / 512MiB,1.74MB / 2.99MB
1775423495,dds26-team9-orchestrator-worker-6,2.68%,34.96MiB / 512MiB,1.73MB / 2.97MB
1775423495,dds26-team9-stock-worker-3,2.75%,35.18MiB / 512MiB,1.68MB / 2.62MB
1775423495,dds26-team9-orchestrator-worker-23,3.69%,35.26MiB / 512MiB,1.74MB / 3MB
1775423495,dds26-team9-orchestrator-worker-16,6.58%,35.13MiB / 512MiB,1.77MB / 3.06MB
